Sc 
44.9559
2.999
E(eV)    f1       f2
63.6 11.432 1.67997
63.8 11.38474 1.67106
64 11.33884 1.65935
64.2 11.29319 1.65153
64.4 11.25418 1.64383
64.6 11.21007 1.62546
64.8 11.16241 1.62005
65 11.11875 1.61227
65.2 11.07677 1.60959
65.4 11.03863 1.60474
65.6 11.00076 1.5996
65.8 10.96423 1.59505
66 10.92901 1.5899
66.2 10.89434 1.58459
66.4 10.86 1.57964
66.6 10.82902 1.57618
66.8 10.79889 1.56691
67 10.76495 1.55766
67.2 10.72889 1.55114
67.4 10.69616 1.54935
67.6 10.66734 1.54439
67.8 10.63742 1.53676
68 10.60582 1.52944
68.2 10.57273 1.52291
68.4 10.54141 1.51991
68.6 10.51137 1.51354
68.8 10.4791 1.508
69 10.44633 1.50414
69.2 10.41398 1.50174
69.4 10.38122 1.50027
69.6 10.34917 1.50235
69.8 10.32076 1.50605
70 10.29478 1.50819
