Si 
28.0855
2.332
E(eV)    f1       f2
64.6 2.25135 0.42559
64.8 2.23731 0.42471
65 2.22375 0.42383
65.2 2.21491 0.423
65.4 2.20607 0.42217
65.6 2.19722 0.42133
65.8 2.18838 0.4205
66 2.17954 0.41967
66.2 2.17069 0.41884
66.4 2.16185 0.418
66.6 2.15301 0.41717
66.8 2.14416 0.41634
67 2.13532 0.41551
67.2 2.12648 0.41468
67.4 2.11763 0.41384
67.6 2.10879 0.41301
67.8 2.09995 0.41218
68 2.0911 0.41135
68.2 2.08226 0.41051
68.4 2.07342 0.40968
68.6 2.06445 0.40885
68.8 2.05388 0.40801
69 2.04332 0.40718
69.2 2.03275 0.40634
69.4 2.02218 0.4055
69.6 2.01162 0.40467
69.8 2.00105 0.40383
70 1.99048 0.40299
