N
14.0067
1 
E(eV)  f1  f2
       155.43900        5.4561600       0.84736200
       157.95300        5.4542100       0.83045800
       160.50700        5.4530400       0.81356700
       163.10300        5.4520200       0.79554800
       165.74200        5.4495700       0.77626000
       168.42200        5.4457700       0.75743800
       171.14600        5.4411200       0.73907400
       173.91500        5.4358000       0.72115400
       176.72700        5.4298900       0.70367000
       179.58600        5.4234300       0.68660800
       182.49100        5.4164700       0.66996100
       185.44200        5.4090300       0.65371800
       188.44200        5.4011100       0.63786800
       191.48900        5.3927400       0.62240200
       194.58700        5.3839200       0.60731200
       197.73400        5.3746500       0.59258700
       200.93200        5.3649400       0.57821900
       204.18200        5.3547700       0.56420000
       207.48500        5.3441500       0.55052100
       210.84000        5.3330800       0.53717300
       214.25100        5.3215500       0.52414900
       217.71600        5.3095700       0.51144000
       221.23700        5.2973300       0.49899700
       224.81600        5.2845000       0.48626800
       228.45200        5.2706700       0.47386500
       232.14700        5.2561200       0.46177800
       235.90200        5.2408400       0.44999900
       239.71700        5.2248000       0.43852100
       243.59500        5.2079600       0.42733500
       247.53500        5.1902900       0.41643500
       251.53800        5.1717500       0.40581200
       255.60700        5.1522700       0.39546100
       259.74100        5.1317800       0.38537400
       263.94200        5.1102300       0.37554400
       268.21100        5.0875300       0.36596500
       272.54900        5.0635700       0.35663000
       276.95700        5.0382600       0.34753300
       281.43700        5.0114700       0.33866800
       285.98900        4.9830700       0.33003000
       290.61500        4.9529200       0.32161100
       295.31500        4.9208300       0.31340800
       300.09200        4.8866400       0.30541300
       304.94500        4.8501700       0.29762300
       309.87800        4.8115200       0.29003200
       314.89000        4.7702400       0.28096900
       319.98300        4.7242000       0.27109700
       325.15800        4.6728500       0.26157100
       330.41800        4.6161600       0.25238000
       335.76200        4.5533900       0.24351200
       341.19200        4.4835300       0.23495600
       346.71100        4.4052500       0.22670000
       352.31900        4.3168100       0.21873400
       358.01700        4.2157700       0.21104900
       363.80800        4.0987700       0.20364400
       369.69200        3.9609900       0.19661400
       375.67200        3.7950400       0.18982700
       381.74800        3.5887400       0.18327500
       387.92200        3.3203500       0.17694800
       394.19700        2.9448100       0.17084000
       400.57300        2.3417500       0.16494300
       407.05200       0.90275500       0.15924900
       409.80000       -3.3472900       0.15691900
       410.00000       -3.3407000        4.1914500
       413.63500        1.3747500        4.1430800
       420.32600        2.7699300        4.0565700
       427.12400        3.4718000        3.9718700
       434.03200        3.9503000        3.8889400
       441.05200        4.3151800        3.8077400
       448.18600        4.6103800        3.7282400
       455.43500        4.8580800        3.6503900
       462.80200        5.0711500        3.5741700
       470.28700        5.2577300        3.4995400
       477.89400        5.4233500        3.4264800
       485.62300        5.5719200        3.3549300
       493.47800        5.7063500        3.2848800
       501.45900        5.8288800        3.2162900
       509.57000        5.9412400        3.1491400
       517.81200        6.0448700        3.0833900
       526.18700        6.1409500        3.0190100
       534.69800        6.2305100        2.9559700
       543.34600        6.3145200        2.8942500
       552.13400        6.3940500        2.8338200
       561.06500        6.4710600        2.7746500
       570.13900        6.5460900        2.7106500
       579.36100        6.6131700        2.6439600
       588.73200        6.6726200        2.5789000
       598.25400        6.7271700        2.5154500
       607.93000        6.7773700        2.4535500
       617.76300        6.8237300        2.3931900
       627.75500        6.8666400        2.3343000
       637.90800        6.9064300        2.2768700
       648.22600        6.9433700        2.2208400
       658.71100        6.9777100        2.1662000
       669.36500        7.0096700        2.1129000
       680.19100        7.0394300        2.0609100
       691.19300        7.0671800        2.0102100
       702.37200        7.0930800        1.9607400
       713.73300        7.1172800        1.9125000
       725.27700        7.1399500        1.8654400
       737.00800        7.1612400        1.8195400
       748.92800        7.1813200        1.7747800
       761.04200        7.2008200        1.7311100
       773.35100        7.2197300        1.6875500
       785.85900        7.2371000        1.6434800
       798.57000        7.2523000        1.5998000
