Cr
51.996
7.19
(Energy (eV),f1,f2)
64.6 8.46161 7.70104
64.8 8.50449 7.67574
65 8.54816 7.64968
65.2 8.59038 7.62137
65.4 8.63039 7.58852
65.6 8.6704 7.55483
65.8 8.70965 7.52107
66 8.74813 7.48801
66.2 8.78659 7.45413
66.4 8.81729 7.42097
66.6 8.84866 7.38623
66.8 8.87915 7.35223
67 8.90873 7.31901
67.2 8.93818 7.28499
67.4 8.96512 7.25177
67.6 8.98949 7.21938
67.8 9.01287 7.18703
68 9.03605 7.15473
68.2 9.05904 7.12249
68.4 9.08182 7.0895
68.6 9.09945 7.05906
68.8 9.11598 7.0279
69 9.13307 6.99686
69.2 9.14991 6.96763
69.4 9.16648 6.93771
69.6 9.18192 6.91135
69.8 9.19709 6.88776
70 9.21112 6.86356
